model_id,sample_index,stratum_id,sample_within_stratum,facade_configuration,reference_orientation,active_facades,window_type,sill_height_m,window_width_m,window_height_m,overhang_present,overhang_depth_m,overhang_length_m
model_415,415,adjacent_south_west__floor_to_ceiling__overhang,8,two_adjacent,south,south;west,floor_to_ceiling,0.0,1.03,3.0,True,1.2,1.03
model_416,416,adjacent_south_west__floor_to_ceiling__no_overhang,8,two_adjacent,south,south;west,floor_to_ceiling,0.0,2.15,3.0,False,0.0,2.15
model_417,417,three_north_east_south__floor_to_ceiling__overhang,8,three_facades,east,north;east;south,floor_to_ceiling,0.0,0.9,3.0,True,0.86,0.9
model_418,418,three_north_east_west__conventional__overhang,8,three_facades,north,north;east;west,conventional,0.9,0.8,1.58,True,0.75,0.8
model_419,419,single_south__conventional__overhang,8,single,south,south,conventional,0.9,1.11,1.02,True,0.64,1.11
model_420,420,opposite_north_south__conventional__no_overhang,8,two_opposite,north,north;south,conventional,0.9,2.39,0.91,False,0.0,2.39
model_421,421,single_east__conventional__overhang,8,single,east,east,conventional,0.9,1.05,0.73,True,1.41,1.05
model_422,422,adjacent_east_south__floor_to_ceiling__overhang,8,two_adjacent,east,east;south,floor_to_ceiling,0.0,2.22,3.0,True,0.37,2.22
model_423,423,adjacent_south_west__conventional__overhang,8,two_adjacent,south,south;west,conventional,0.9,1.04,2.06,True,0.52,1.04
model_424,424,single_north__floor_to_ceiling__overhang,8,single,north,north,floor_to_ceiling,0.0,1.12,3.0,True,1.33,1.12
model_425,425,adjacent_north_east__floor_to_ceiling__overhang,8,two_adjacent,north,north;east,floor_to_ceiling,0.0,1.66,3.0,True,0.86,1.66
model_426,426,single_east__floor_to_ceiling__overhang,8,single,east,east,floor_to_ceiling,0.0,2.15,3.0,True,1.44,2.15
model_427,427,opposite_east_west__floor_to_ceiling__no_overhang,8,two_opposite,east,east;west,floor_to_ceiling,0.0,1.69,3.0,False,0.0,1.69
model_428,428,opposite_east_west__conventional__overhang,8,two_opposite,east,east;west,conventional,0.9,1.34,0.65,True,0.91,1.34
model_429,429,three_north_south_west__floor_to_ceiling__overhang,8,three_facades,west,north;south;west,floor_to_ceiling,0.0,1.17,3.0,True,0.83,1.17
model_430,430,adjacent_west_north__floor_to_ceiling__no_overhang,8,two_adjacent,west,west;north,floor_to_ceiling,0.0,1.5,3.0,False,0.0,1.5
model_431,431,adjacent_south_west__conventional__no_overhang,8,two_adjacent,south,south;west,conventional,0.9,2.01,0.99,False,0.0,2.01
model_432,432,opposite_north_south__conventional__overhang,8,two_opposite,north,north;south,conventional,0.9,1.54,0.81,True,0.92,1.54
model_433,433,adjacent_west_north__conventional__overhang,8,two_adjacent,west,west;north,conventional,0.9,0.99,1.22,True,0.52,0.99
model_434,434,three_north_east_south__conventional__overhang,8,three_facades,east,north;east;south,conventional,0.9,0.96,1.52,True,0.51,0.96
model_435,435,opposite_north_south__floor_to_ceiling__no_overhang,8,two_opposite,north,north;south,floor_to_ceiling,0.0,1.86,3.0,False,0.0,1.86
model_436,436,three_east_south_west__floor_to_ceiling__overhang,8,three_facades,south,east;south;west,floor_to_ceiling,0.0,2.39,3.0,True,1.34,2.39
model_437,437,three_north_east_west__floor_to_ceiling__no_overhang,8,three_facades,north,north;east;west,floor_to_ceiling,0.0,1.75,3.0,False,0.0,1.75
model_438,438,adjacent_north_east__conventional__no_overhang,8,two_adjacent,north,north;east,conventional,0.9,1.45,2.1,False,0.0,1.45
model_439,439,three_north_south_west__conventional__overhang,8,three_facades,west,north;south;west,conventional,0.9,1.12,0.72,True,1.34,1.12
model_440,440,single_north__conventional__no_overhang,8,single,north,north,conventional,0.9,1.6,1.55,False,0.0,1.6
model_441,441,single_east__conventional__no_overhang,8,single,east,east,conventional,0.9,1.6,1.76,False,0.0,1.6
model_442,442,three_north_east_south__floor_to_ceiling__no_overhang,8,three_facades,east,north;east;south,floor_to_ceiling,0.0,1.2,3.0,False,0.0,1.2
model_443,443,adjacent_north_east__floor_to_ceiling__no_overhang,8,two_adjacent,north,north;east,floor_to_ceiling,0.0,1.36,3.0,False,0.0,1.36
model_444,444,single_north__conventional__overhang,8,single,north,north,conventional,0.9,1.35,1.57,True,0.59,1.35
model_445,445,single_east__floor_to_ceiling__no_overhang,8,single,east,east,floor_to_ceiling,0.0,0.97,3.0,False,0.0,0.97
model_446,446,adjacent_east_south__floor_to_ceiling__no_overhang,8,two_adjacent,east,east;south,floor_to_ceiling,0.0,1.17,3.0,False,0.0,1.17
model_447,447,single_west__floor_to_ceiling__no_overhang,8,single,west,west,floor_to_ceiling,0.0,2.28,3.0,False,0.0,2.28
model_448,448,single_west__conventional__no_overhang,8,single,west,west,conventional,0.9,1.64,0.99,False,0.0,1.64
model_449,449,adjacent_west_north__floor_to_ceiling__overhang,9,two_adjacent,west,west;north,floor_to_ceiling,0.0,2.36,3.0,True,1.33,2.36
model_450,450,adjacent_west_north__floor_to_ceiling__no_overhang,9,two_adjacent,west,west;north,floor_to_ceiling,0.0,0.78,3.0,False,0.0,0.78
model_451,451,single_north__floor_to_ceiling__overhang,9,single,north,north,floor_to_ceiling,0.0,1.92,3.0,True,1.04,1.92
model_452,452,single_south__floor_to_ceiling__overhang,9,single,south,south,floor_to_ceiling,0.0,2.03,3.0,True,1.5,2.03
model_453,453,adjacent_east_south__conventional__no_overhang,9,two_adjacent,east,east;south,conventional,0.9,2.1,0.99,False,0.0,2.1
model_454,454,single_west__floor_to_ceiling__overhang,9,single,west,west,floor_to_ceiling,0.0,2.07,3.0,True,1.5,2.07
model_455,455,opposite_north_south__floor_to_ceiling__no_overhang,9,two_opposite,north,north;south,floor_to_ceiling,0.0,0.99,3.0,False,0.0,0.99
model_456,456,three_east_south_west__conventional__overhang,9,three_facades,south,east;south;west,conventional,0.9,2.1,1.31,True,0.49,2.1
model_457,457,opposite_east_west__floor_to_ceiling__no_overhang,9,two_opposite,east,east;west,floor_to_ceiling,0.0,0.69,3.0,False,0.0,0.69
model_458,458,single_south__floor_to_ceiling__no_overhang,9,single,south,south,floor_to_ceiling,0.0,1.53,3.0,False,0.0,1.53
model_459,459,three_east_south_west__conventional__no_overhang,9,three_facades,south,east;south;west,conventional,0.9,1.17,1.59,False,0.0,1.17
model_460,460,single_west__conventional__no_overhang,9,single,west,west,conventional,0.9,0.96,1.89,False,0.0,0.96
model_461,461,three_north_east_south__conventional__no_overhang,9,three_facades,east,north;east;south,conventional,0.9,1.03,1.3,False,0.0,1.03
model_462,462,adjacent_south_west__conventional__no_overhang,9,two_adjacent,south,south;west,conventional,0.9,2.07,1.94,False,0.0,2.07
model_463,463,single_east__floor_to_ceiling__no_overhang,9,single,east,east,floor_to_ceiling,0.0,0.66,3.0,False,0.0,0.66
model_464,464,three_north_east_south__floor_to_ceiling__overhang,9,three_facades,east,north;east;south,floor_to_ceiling,0.0,2.22,3.0,True,1.3,2.22
model_465,465,three_north_south_west__conventional__no_overhang,9,three_facades,west,north;south;west,conventional,0.9,1.95,1.23,False,0.0,1.95
model_466,466,three_north_east_south__conventional__overhang,9,three_facades,east,north;east;south,conventional,0.9,1.59,2.02,True,0.83,1.59
model_467,467,adjacent_east_south__floor_to_ceiling__overhang,9,two_adjacent,east,east;south,floor_to_ceiling,0.0,1.79,3.0,True,0.59,1.79
model_468,468,three_north_south_west__conventional__overhang,9,three_facades,west,north;south;west,conventional,0.9,1.78,2.04,True,1.42,1.78
model_469,469,single_east__conventional__overhang,9,single,east,east,conventional,0.9,1.69,1.13,True,0.34,1.69
model_470,470,three_north_east_west__floor_to_ceiling__overhang,9,three_facades,north,north;east;west,floor_to_ceiling,0.0,1.49,3.0,True,0.56,1.49
model_471,471,opposite_east_west__floor_to_ceiling__overhang,9,two_opposite,east,east;west,floor_to_ceiling,0.0,1.39,3.0,True,0.75,1.39
model_472,472,single_east__floor_to_ceiling__overhang,9,single,east,east,floor_to_ceiling,0.0,1.9,3.0,True,0.38,1.9
model_473,473,adjacent_south_west__floor_to_ceiling__overhang,9,two_adjacent,south,south;west,floor_to_ceiling,0.0,1.43,3.0,True,1.07,1.43
model_474,474,adjacent_north_east__conventional__overhang,9,two_adjacent,north,north;east,conventional,0.9,1.07,1.68,True,1.4,1.07
model_475,475,three_north_east_south__floor_to_ceiling__no_overhang,9,three_facades,east,north;east;south,floor_to_ceiling,0.0,2.02,3.0,False,0.0,2.02
model_476,476,three_north_south_west__floor_to_ceiling__overhang,9,three_facades,west,north;south;west,floor_to_ceiling,0.0,1.01,3.0,True,1.25,1.01
model_477,477,three_east_south_west__floor_to_ceiling__no_overhang,9,three_facades,south,east;south;west,floor_to_ceiling,0.0,1.7,3.0,False,0.0,1.7
model_478,478,single_south__conventional__no_overhang,9,single,south,south,conventional,0.9,1.74,1.79,False,0.0,1.74
model_479,479,three_north_south_west__floor_to_ceiling__no_overhang,9,three_facades,west,north;south;west,floor_to_ceiling,0.0,0.93,3.0,False,0.0,0.93
model_480,480,adjacent_south_west__conventional__overhang,9,two_adjacent,south,south;west,conventional,0.9,1.91,1.75,True,0.62,1.91
model_481,481,opposite_east_west__conventional__overhang,9,two_opposite,east,east;west,conventional,0.9,1.53,1.99,True,1.28,1.53
model_482,482,opposite_north_south__conventional__no_overhang,9,two_opposite,north,north;south,conventional,0.9,1.6,1.37,False,0.0,1.6
model_483,483,three_east_south_west__floor_to_ceiling__overhang,9,three_facades,south,east;south;west,floor_to_ceiling,0.0,0.93,3.0,True,0.42,0.93
model_484,484,adjacent_north_east__floor_to_ceiling__overhang,9,two_adjacent,north,north;east,floor_to_ceiling,0.0,0.92,3.0,True,1.46,0.92
model_485,485,adjacent_south_west__floor_to_ceiling__no_overhang,9,two_adjacent,south,south;west,floor_to_ceiling,0.0,1.61,3.0,False,0.0,1.61
model_486,486,single_west__floor_to_ceiling__no_overhang,9,single,west,west,floor_to_ceiling,0.0,0.69,3.0,False,0.0,0.69
model_487,487,single_north__conventional__overhang,9,single,north,north,conventional,0.9,1.19,1.34,True,1.38,1.19
model_488,488,three_north_east_west__conventional__no_overhang,9,three_facades,north,north;east;west,conventional,0.9,0.97,1.55,False,0.0,0.97
model_489,489,adjacent_north_east__conventional__no_overhang,9,two_adjacent,north,north;east,conventional,0.9,2.23,1.9,False,0.0,2.23
model_490,490,opposite_east_west__conventional__no_overhang,9,two_opposite,east,east;west,conventional,0.9,0.84,1.53,False,0.0,0.84
model_491,491,adjacent_east_south__floor_to_ceiling__no_overhang,9,two_adjacent,east,east;south,floor_to_ceiling,0.0,1.76,3.0,False,0.0,1.76
model_492,492,single_east__conventional__no_overhang,9,single,east,east,conventional,0.9,1.9,1.28,False,0.0,1.9
model_493,493,single_west__conventional__overhang,9,single,west,west,conventional,0.9,2.29,1.32,True,1.3,2.29
model_494,494,opposite_north_south__conventional__overhang,9,two_opposite,north,north;south,conventional,0.9,0.86,0.97,True,0.74,0.86
model_495,495,adjacent_west_north__conventional__overhang,9,two_adjacent,west,west;north,conventional,0.9,0.73,1.45,True,0.55,0.73
model_496,496,single_north__conventional__no_overhang,9,single,north,north,conventional,0.9,2.12,2.04,False,0.0,2.12
model_497,497,adjacent_east_south__conventional__overhang,9,two_adjacent,east,east;south,conventional,0.9,2.3,1.67,True,0.54,2.3
model_498,498,three_north_east_west__conventional__overhang,9,three_facades,north,north;east;west,conventional,0.9,2.22,0.82,True,0.62,2.22
model_499,499,opposite_north_south__floor_to_ceiling__overhang,9,two_opposite,north,north;south,floor_to_ceiling,0.0,1.0,3.0,True,1.31,1.0
model_500,500,adjacent_north_east__floor_to_ceiling__no_overhang,9,two_adjacent,north,north;east,floor_to_ceiling,0.0,1.15,3.0,False,0.0,1.15
model_501,501,adjacent_west_north__conventional__no_overhang,9,two_adjacent,west,west;north,conventional,0.9,1.91,1.5,False,0.0,1.91
model_502,502,single_north__floor_to_ceiling__no_overhang,9,single,north,north,floor_to_ceiling,0.0,2.21,3.0,False,0.0,2.21
model_503,503,three_north_east_west__floor_to_ceiling__no_overhang,9,three_facades,north,north;east;west,floor_to_ceiling,0.0,2.23,3.0,False,0.0,2.23
model_504,504,single_south__conventional__overhang,9,single,south,south,conventional,0.9,0.91,0.79,True,0.86,0.91
model_505,505,single_south__conventional__overhang,10,single,south,south,conventional,0.9,0.64,1.79,True,0.99,0.64
model_506,506,three_north_east_west__floor_to_ceiling__no_overhang,10,three_facades,north,north;east;west,floor_to_ceiling,0.0,1.05,3.0,False,0.0,1.05
model_507,507,adjacent_west_north__conventional__no_overhang,10,two_adjacent,west,west;north,conventional,0.9,2.05,1.03,False,0.0,2.05
model_508,508,adjacent_south_west__floor_to_ceiling__no_overhang,10,two_adjacent,south,south;west,floor_to_ceiling,0.0,0.67,3.0,False,0.0,0.67
model_509,509,adjacent_north_east__floor_to_ceiling__overhang,10,two_adjacent,north,north;east,floor_to_ceiling,0.0,1.95,3.0,True,0.73,1.95
model_510,510,three_north_south_west__floor_to_ceiling__overhang,10,three_facades,west,north;south;west,floor_to_ceiling,0.0,2.11,3.0,True,1.07,2.11
model_511,511,single_north__floor_to_ceiling__overhang,10,single,north,north,floor_to_ceiling,0.0,0.86,3.0,True,1.0,0.86
model_512,512,three_north_south_west__conventional__overhang,10,three_facades,west,north;south;west,conventional,0.9,0.89,1.42,True,0.69,0.89
model_513,513,three_east_south_west__conventional__overhang,10,three_facades,south,east;south;west,conventional,0.9,1.72,1.84,True,1.43,1.72
model_514,514,three_north_east_west__conventional__overhang,10,three_facades,north,north;east;west,conventional,0.9,1.97,0.91,True,1.12,1.97
model_515,515,single_east__conventional__overhang,10,single,east,east,conventional,0.9,0.78,1.98,True,0.55,0.78
model_516,516,single_south__conventional__no_overhang,10,single,south,south,conventional,0.9,2.21,1.32,False,0.0,2.21
model_517,517,three_east_south_west__floor_to_ceiling__no_overhang,10,three_facades,south,east;south;west,floor_to_ceiling,0.0,0.9,3.0,False,0.0,0.9
model_518,518,single_east__conventional__no_overhang,10,single,east,east,conventional,0.9,0.84,2.03,False,0.0,0.84
model_519,519,opposite_north_south__conventional__no_overhang,10,two_opposite,north,north;south,conventional,0.9,1.25,1.69,False,0.0,1.25
model_520,520,adjacent_east_south__floor_to_ceiling__no_overhang,10,two_adjacent,east,east;south,floor_to_ceiling,0.0,1.02,3.0,False,0.0,1.02
model_521,521,opposite_north_south__floor_to_ceiling__no_overhang,10,two_opposite,north,north;south,floor_to_ceiling,0.0,1.7,3.0,False,0.0,1.7
model_522,522,adjacent_west_north__floor_to_ceiling__no_overhang,10,two_adjacent,west,west;north,floor_to_ceiling,0.0,1.78,3.0,False,0.0,1.78
model_523,523,single_west__conventional__overhang,10,single,west,west,conventional,0.9,1.78,1.71,True,0.5,1.78
model_524,524,adjacent_north_east__floor_to_ceiling__no_overhang,10,two_adjacent,north,north;east,floor_to_ceiling,0.0,1.77,3.0,False,0.0,1.77
model_525,525,adjacent_east_south__conventional__overhang,10,two_adjacent,east,east;south,conventional,0.9,0.95,0.69,True,0.35,0.95
model_526,526,adjacent_south_west__conventional__overhang,10,two_adjacent,south,south;west,conventional,0.9,2.15,0.81,True,0.92,2.15
model_527,527,single_south__floor_to_ceiling__overhang,10,single,south,south,floor_to_ceiling,0.0,0.78,3.0,True,1.22,0.78
model_528,528,single_west__conventional__no_overhang,10,single,west,west,conventional,0.9,1.19,1.24,False,0.0,1.19
model_529,529,single_north__conventional__overhang,10,single,north,north,conventional,0.9,1.95,1.92,True,0.51,1.95
model_530,530,three_north_east_south__conventional__overhang,10,three_facades,east,north;east;south,conventional,0.9,1.3,0.75,True,0.54,1.3
model_531,531,three_north_east_south__floor_to_ceiling__no_overhang,10,three_facades,east,north;east;south,floor_to_ceiling,0.0,1.32,3.0,False,0.0,1.32
model_532,532,single_west__floor_to_ceiling__no_overhang,10,single,west,west,floor_to_ceiling,0.0,1.91,3.0,False,0.0,1.91
model_533,533,opposite_north_south__floor_to_ceiling__overhang,10,two_opposite,north,north;south,floor_to_ceiling,0.0,2.29,3.0,True,1.15,2.29
model_534,534,opposite_east_west__conventional__no_overhang,10,two_opposite,east,east;west,conventional,0.9,0.68,1.87,False,0.0,0.68
model_535,535,three_east_south_west__floor_to_ceiling__overhang,10,three_facades,south,east;south;west,floor_to_ceiling,0.0,1.39,3.0,True,0.95,1.39
model_536,536,three_north_east_west__floor_to_ceiling__overhang,10,three_facades,north,north;east;west,floor_to_ceiling,0.0,1.65,3.0,True,0.51,1.65
model_537,537,adjacent_west_north__conventional__overhang,10,two_adjacent,west,west;north,conventional,0.9,1.87,1.82,True,0.79,1.87
model_538,538,opposite_east_west__floor_to_ceiling__no_overhang,10,two_opposite,east,east;west,floor_to_ceiling,0.0,2.33,3.0,False,0.0,2.33
model_539,539,adjacent_north_east__conventional__no_overhang,10,two_adjacent,north,north;east,conventional,0.9,1.81,1.64,False,0.0,1.81
model_540,540,single_east__floor_to_ceiling__overhang,10,single,east,east,floor_to_ceiling,0.0,1.37,3.0,True,0.97,1.37
model_541,541,three_north_east_south__floor_to_ceiling__overhang,10,three_facades,east,north;east;south,floor_to_ceiling,0.0,0.65,3.0,True,0.74,0.65
model_542,542,three_north_east_west__conventional__no_overhang,10,three_facades,north,north;east;west,conventional,0.9,1.33,0.82,False,0.0,1.33
model_543,543,three_east_south_west__conventional__no_overhang,10,three_facades,south,east;south;west,conventional,0.9,0.77,0.84,False,0.0,0.77
model_544,544,opposite_east_west__floor_to_ceiling__overhang,10,two_opposite,east,east;west,floor_to_ceiling,0.0,1.24,3.0,True,1.04,1.24
model_545,545,single_north__conventional__no_overhang,10,single,north,north,conventional,0.9,1.87,1.69,False,0.0,1.87
model_546,546,adjacent_south_west__conventional__no_overhang,10,two_adjacent,south,south;west,conventional,0.9,2.26,1.98,False,0.0,2.26
model_547,547,adjacent_east_south__floor_to_ceiling__overhang,10,two_adjacent,east,east;south,floor_to_ceiling,0.0,1.43,3.0,True,1.28,1.43
model_548,548,adjacent_north_east__conventional__overhang,10,two_adjacent,north,north;east,conventional,0.9,0.79,1.13,True,0.51,0.79
model_549,549,adjacent_south_west__floor_to_ceiling__overhang,10,two_adjacent,south,south;west,floor_to_ceiling,0.0,1.68,3.0,True,0.48,1.68
model_550,550,opposite_north_south__conventional__overhang,10,two_opposite,north,north;south,conventional,0.9,1.07,1.35,True,1.34,1.07
model_551,551,three_north_east_south__conventional__no_overhang,10,three_facades,east,north;east;south,conventional,0.9,2.06,1.7,False,0.0,2.06
model_552,552,adjacent_east_south__conventional__no_overhang,10,two_adjacent,east,east;south,conventional,0.9,1.47,0.7,False,0.0,1.47
model_553,553,single_south__floor_to_ceiling__no_overhang,10,single,south,south,floor_to_ceiling,0.0,0.62,3.0,False,0.0,0.62
model_554,554,three_north_south_west__floor_to_ceiling__no_overhang,10,three_facades,west,north;south;west,floor_to_ceiling,0.0,1.89,3.0,False,0.0,1.89
model_555,555,single_west__floor_to_ceiling__overhang,10,single,west,west,floor_to_ceiling,0.0,1.42,3.0,True,1.33,1.42
model_556,556,single_east__floor_to_ceiling__no_overhang,10,single,east,east,floor_to_ceiling,0.0,1.92,3.0,False,0.0,1.92
model_557,557,single_north__floor_to_ceiling__no_overhang,10,single,north,north,floor_to_ceiling,0.0,0.74,3.0,False,0.0,0.74
model_558,558,opposite_east_west__conventional__overhang,10,two_opposite,east,east;west,conventional,0.9,1.12,1.0,True,1.2,1.12
model_559,559,adjacent_west_north__floor_to_ceiling__overhang,10,two_adjacent,west,west;north,floor_to_ceiling,0.0,1.48,3.0,True,1.39,1.48
model_560,560,three_north_south_west__conventional__no_overhang,10,three_facades,west,north;south;west,conventional,0.9,1.33,1.87,False,0.0,1.33
